rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code
pull_request_commit,8,eneim,Toro,eneim,2016-02-03 08:20:46+00:00,Add samples to repo,09eb20561ee7a000104d1f51b19dac6a26c5b2f7,,api.github.com,,false,[],[],[],[]
pull_request_commit,8,eneim,Toro,eneim,2016-02-03 08:30:04+00:00,Minor refactor widgest,2dab53fa2f4c3a4b96d51ab89e143fe7f2e9beaf,,api.github.com,,false,[],[],[],[]
pull_request_commit,8,eneim,Toro,eneim,2016-02-03 09:24:03+00:00,Minor fix video views,af781a8dec235548f1e94e81b1106c8aedc74ef6,,api.github.com,,false,[],[],[],[]
pull_request_commit,8,eneim,Toro,eneim,2016-02-04 01:32:42+00:00,"Cleanup, add new components, ...",06792f2be9b3f52bf272ac2efadce5d7e7102f1f,,api.github.com,,false,[],[],[],[]
pull_request_commit,8,eneim,Toro,eneim,2016-02-04 04:12:36+00:00,Update API,bed3fbba61ea2b15873c0e252c40dca53376e722,,api.github.com,,false,[],[],[],[]
pull_request_commit,8,eneim,Toro,eneim,2016-02-04 05:02:57+00:00,API changes,de5abd2ca81a8b0382a8c43bd71b5999b25fe925,,api.github.com,,false,[],[],[],[]
pull_request_commit,8,eneim,Toro,eneim,2016-02-04 05:37:59+00:00,Minor fixes,37224b9f3855a652d48a755620814196e4b6cf64,,api.github.com,,false,[],[],[],[]
issue_title,8,eneim,Toro,eneim,2016-02-04 05:38:28+00:00,,start issue,Samples,api.github.com,,false,[],[],[],[]
pull_request_title,8,eneim,Toro,eneim,2016-02-04 05:38:28+00:00,,37224b9f3855a652d48a755620814196e4b6cf64,Samples,api.github.com,,false,[],[],[],[]
issue_closed,8,eneim,Toro,eneim,2016-02-04 05:38:33+00:00,,closed issue,Samples,api.github.com,,false,[],[],[],[]
pull_request_merged,8,eneim,Toro,eneim,2016-02-04 05:38:33+00:00,Samples,27d4b73ac20e1a6b7fff6cab42ec2c3d8e013b53,Pull request merge from eneim/Toro:samples to eneim/Toro:master,api.github.com,,false,[],[],[],[]
