rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code
pull_request_commit,63,eneim,Toro,eneim,2016-06-12 05:12:46+00:00,Extension for ExoPlayer which will support track selection and bandwidth optimization,0045939611c7c49bb8481af22b75cdca3d8d5b68,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-16 09:29:17+00:00,"Add layered video, adapt from Google Ad framework",6175c9d0e77c6ae192f3f5122d5929dc265808bd,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-16 12:00:30+00:00,Add media button,39831d9f5526db84e8aa82e9c37d934ebb017bd2,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-16 12:32:31+00:00,Move stuff from player to ext,a8e8b67e1dd7b25d0f97be93eed317fc78c57f3e,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-16 12:50:09+00:00,Test playback button,834840c4781a2f0ea08cb4986f1a9b6b376ba865,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-16 14:59:33+00:00,Clean up and optimize,6398de32a851a04be562beb876316ec9e8e6a33c,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-17 01:53:36+00:00,Cleanup,d4125a334be720d3b5477aaccc44e3d24802e900,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-17 02:47:07+00:00,Clean up,511b8adb4c6bb1896847aaf935b90f0816661ec8,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-18 12:04:17+00:00,WIP improve player UI,b0b541a5fcfa23b05e9abfa5af102f49b5f11561,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-18 12:30:47+00:00,Improve gradient,53d0ff1ae686aa22501f92a6cca2018893e3c2cc,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-19 08:11:36+00:00,"Clean up, update player menu",5c2420fac1884566b7e0368eb9b760be010afa7a,,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-21 13:47:08+00:00,minor update play controller,21fb1c60d78d8224f6d528f5169ddb6aabe11007,,api.github.com,,false,[],[],[],[]
issue_title,63,eneim,Toro,eneim,2016-06-21 13:48:14+00:00,,start issue,Feature/ext track selector,api.github.com,,false,[],[],[],[]
pull_request_title,63,eneim,Toro,eneim,2016-06-21 13:48:14+00:00,,1dfaf66e2c1236760a293064ed739bd8b2160c30,Feature/ext track selector,api.github.com,,false,[],[],[],[]
pull_request_commit,63,eneim,Toro,eneim,2016-06-21 13:55:31+00:00,remove temp dev code,1dfaf66e2c1236760a293064ed739bd8b2160c30,,api.github.com,,false,[],[],[],[]
issue_closed,63,eneim,Toro,eneim,2016-06-21 15:10:42+00:00,,closed issue,Feature/ext track selector,api.github.com,,false,[],[],[],[]
pull_request_merged,63,eneim,Toro,eneim,2016-06-21 15:10:42+00:00,Feature/ext track selector,c3d334a858498b40d0cf5c8ab90b0c86e0eac1f8,Pull request merge from eneim/Toro:feature/ext-track-selector to eneim/Toro:develop,api.github.com,,false,[],[],[],[]
