rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code
pull_request_commit,17,5monkeys,django-enumfield,jschneier,2015-01-03 04:16:11+00:00,always respect given default,a6042fdc31df6735c8fd314634cfac20139410cc,,api.github.com,,false,[],[],[],[]
issue_title,17,5monkeys,django-enumfield,jschneier,2015-01-03 04:18:38+00:00,"Hi, I'd like to be able specify ``default=None`` but this wasn't being respected by the old code. Do you think it makes sense in an Enum context? Essentially what I am saying is that it is an error for the user to not specifically choose a value.",start issue,always respect given default,api.github.com,,false,[],[],[],[]
pull_request_title,17,5monkeys,django-enumfield,jschneier,2015-01-03 04:18:38+00:00,"Hi, I'd like to be able specify ``default=None`` but this wasn't being respected by the old code. Do you think it makes sense in an Enum context? Essentially what I am saying is that it is an error for the user to not specifically choose a value.",a6042fdc31df6735c8fd314634cfac20139410cc,always respect given default,api.github.com,,false,[],[],[],[]
issue_comment,17,5monkeys,django-enumfield,hannseman,2015-01-05 10:58:47+00:00,Thank you for the PR! I think that you should be able to specify `None` as a default but this also fixes another bug that I just noticed where having a default value of 0 will be ignored.,,,api.github.com,,false,[],[],[],[]
issue_closed,17,5monkeys,django-enumfield,hannseman,2015-01-05 10:59:05+00:00,,closed issue,always respect given default,api.github.com,,false,[],[],[],[]
