rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code
pull_request_commit,30,eneim,Toro,eneim,2016-03-21 13:00:39+00:00,Add fabric,146aebf59dff1af92f0e1b077c2028915d09c038,,api.github.com,,false,[],[],[],[]
pull_request_commit,30,eneim,Toro,eneim,2016-03-21 13:04:42+00:00,Setup app,7d2bfc0c943d065008b08aa15090ed1e0bc9d39b,,api.github.com,,false,[],[],[],[]
issue_title,30,eneim,Toro,eneim,2016-03-21 13:05:38+00:00,,start issue,Feature/fix sample,api.github.com,,false,[],[],[],[]
pull_request_title,30,eneim,Toro,eneim,2016-03-21 13:05:38+00:00,,7d2bfc0c943d065008b08aa15090ed1e0bc9d39b,Feature/fix sample,api.github.com,,false,[],[],[],[]
issue_closed,30,eneim,Toro,eneim,2016-03-21 13:05:42+00:00,,closed issue,Feature/fix sample,api.github.com,,false,[],[],[],[]
pull_request_merged,30,eneim,Toro,eneim,2016-03-21 13:05:42+00:00,Feature/fix sample,eeace28b49d24fce629569c720461c24d3d59ea5,Pull request merge from eneim/Toro:feature/fix-sample to eneim/Toro:develop,api.github.com,,false,[],[],[],[]
