rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code
pull_request_commit,19,eneim,Toro,eneim,2016-03-02 13:31:22+00:00,Update to 1.2,04daed01951cdbe908d36767842f1e909c01aa7b,,api.github.com,,false,[],[],[],[]
pull_request_commit,19,eneim,Toro,eneim,2016-03-03 01:47:47+00:00,Support loop playback,a3ddca61436f7c40e8fdfb2f3cab686380eb7e3a,,api.github.com,,false,[],[],[],[]
pull_request_commit,19,eneim,Toro,eneim,2016-03-03 03:01:11+00:00,Update sample videos,77b42fa21881e6c260c21c530b6da5e8a173d44a,,api.github.com,,false,[],[],[],[]
pull_request_commit,19,eneim,Toro,eneim,2016-03-03 07:16:36+00:00,Update local IDE setting. Update local sample videos,d399942b117d2a97b2eb759fcc8c45bef256c912,,api.github.com,,false,[],[],[],[]
pull_request_commit,19,eneim,Toro,eneim,2016-03-07 01:53:10+00:00,Update sample app.,cba9fe37673fc6f481e1d40a433aa10e09b9cc25,,api.github.com,,false,[],[],[],[]
pull_request_commit,19,eneim,Toro,eneim,2016-03-07 06:52:01+00:00,Minor cleanup,65b4d93f11d8c6542e1216a2d82e7865701f3aca,,api.github.com,,false,[],[],[],[]
pull_request_commit,19,eneim,Toro,eneim,2016-03-07 07:35:05+00:00,Major fix for scroll listener,b5095a44eac5d6a4decd3c7f0ffaede198ee1cec,,api.github.com,,false,[],[],[],[]
pull_request_commit,19,eneim,Toro,eneim,2016-03-07 07:39:30+00:00,Add an interface to support custom Layout Manager,f4e33a4279c075313a3e788b8021ff3bd73378e9,,api.github.com,,false,[],[],[],[]
pull_request_commit,19,eneim,Toro,eneim,2016-03-07 08:34:24+00:00,"Add new lazy strategy, enable pause/resume on demand. Add support for looping by new Config class",5b8bffadcdcebd7762dcf87f8df6076a97c8c17c,,api.github.com,,false,[],[],[],[]
issue_title,19,eneim,Toro,eneim,2016-03-07 08:43:56+00:00,,start issue,Feature/loop,api.github.com,,false,[],[],[],[]
pull_request_title,19,eneim,Toro,eneim,2016-03-07 08:43:56+00:00,,5b8bffadcdcebd7762dcf87f8df6076a97c8c17c,Feature/loop,api.github.com,,false,[],[],[],[]
issue_closed,19,eneim,Toro,eneim,2016-03-07 08:44:02+00:00,,closed issue,Feature/loop,api.github.com,,false,[],[],[],[]
pull_request_merged,19,eneim,Toro,eneim,2016-03-07 08:44:02+00:00,Feature/loop,ae385131892dd0fed4ef91f9d3d75fb5cc5e51db,Pull request merge from eneim/Toro:feature/loop to eneim/Toro:develop,api.github.com,,false,[],[],[],[]
