rectype,issueid,project_owner,project_name,actor,time,text,action,title,provenance,paths,plus_1,urls,issues,userref,code
pull_request_commit,26,eneim,Toro,eneim,2016-03-16 02:56:09+00:00,Better handling error on playback,79d861eca85f11967d186cbea857ba4a4b3e93af,,api.github.com,,false,[],[],[],[]
pull_request_commit,26,eneim,Toro,eneim,2016-03-16 03:10:12+00:00,Return boolean from error handle callback,8bcf2a21c53f1c0a389c646b5667f336bc48cbef,,api.github.com,,false,[],[],[],[]
issue_title,26,eneim,Toro,eneim,2016-03-16 03:10:49+00:00,,start issue,Feature/error handle,api.github.com,,false,[],[],[],[]
pull_request_title,26,eneim,Toro,eneim,2016-03-16 03:10:49+00:00,,8bcf2a21c53f1c0a389c646b5667f336bc48cbef,Feature/error handle,api.github.com,,false,[],[],[],[]
issue_closed,26,eneim,Toro,eneim,2016-03-16 03:10:52+00:00,,closed issue,Feature/error handle,api.github.com,,false,[],[],[],[]
pull_request_merged,26,eneim,Toro,eneim,2016-03-16 03:10:52+00:00,Feature/error handle,c2a9d7ff05de432f5a5919ce66bba1116ef5702c,Pull request merge from eneim/Toro:feature/error-handle to eneim/Toro:develop,api.github.com,,false,[],[],[],[]
